timestamp,area,TDS,hardness,Ca,Mg,pH,turbidity,chlorine
2025-10-11 05:10:51,Whitefield,397.64,108.39,80.0,40.0,8.25,3.39,0.0
2025-10-11 05:55:51,Whitefield,315.4,366.3,96.29,40.0,7.75,3.63,0.01
2025-10-11 06:40:51,Whitefield,287.41,223.95,80.0,40.0,7.07,2.09,0.05
2025-10-11 07:25:51,Whitefield,787.15,433.49,112.69,40.0,7.08,4.06,0.01
2025-10-11 08:10:51,Whitefield,699.83,252.65,80.0,40.0,7.24,4.21,0.01
2025-10-11 08:55:51,Whitefield,198.12,460.51,135.34,40.0,8.05,3.57,0.04
2025-10-11 09:40:51,Whitefield,431.98,319.85,80.0,40.0,8.26,3.69,0.03
2025-10-11 10:25:51,Whitefield,272.05,292.2,89.56,40.0,7.81,3.41,0.0
2025-10-11 11:10:51,Whitefield,721.02,184.02,80.0,40.0,8.06,2.7,0.03
2025-10-11 11:55:51,Whitefield,495.51,116.36,80.0,40.0,8.34,1.6,0.02
2025-10-11 12:40:51,Whitefield,284.36,254.17,80.0,40.0,7.62,1.05,0.01
2025-10-11 13:25:51,Whitefield,600.65,284.93,90.51,40.0,8.07,1.7,0.02
2025-10-11 14:10:51,Whitefield,956.0,248.76,80.0,40.0,7.6,3.35,0.02
2025-10-11 14:55:51,Whitefield,595.36,100.69,80.0,40.0,7.99,1.56,0.02
2025-10-11 15:40:51,Whitefield,795.21,230.13,80.0,40.0,7.27,1.93,0.03
2025-10-11 16:25:51,Whitefield,454.63,210.78,80.0,40.0,8.32,3.6,0.05
2025-10-11 17:10:51,Whitefield,844.34,246.35,80.0,40.0,7.12,3.56,0.02
2025-10-11 17:55:51,Whitefield,271.96,134.33,80.0,40.0,7.6,4.04,0.01
2025-10-11 18:40:51,Whitefield,224.13,314.98,86.92,40.0,7.47,3.45,0.01
2025-10-11 19:25:51,Whitefield,304.39,449.2,141.65,40.0,8.08,1.27,0.05
2025-10-11 20:10:51,Whitefield,554.72,300.24,82.02,40.0,7.51,3.04,0.04
2025-10-11 20:55:51,Whitefield,582.26,104.45,80.0,40.0,8.37,2.86,0.03
2025-10-11 21:40:51,Whitefield,432.64,381.53,121.18,40.0,7.77,1.19,0.03
2025-10-11 22:25:51,Whitefield,496.14,443.97,124.89,40.0,7.81,3.9,0.03
2025-10-11 23:10:51,Whitefield,681.07,183.31,80.0,40.0,7.97,1.31,0.01
2025-10-11 23:55:51,Whitefield,794.76,312.19,87.51,40.0,8.16,1.36,0.0
2025-10-12 00:40:51,Whitefield,261.67,361.08,87.55,40.0,7.42,2.84,0.02
2025-10-12 01:25:51,Whitefield,612.91,122.72,80.0,40.0,7.55,3.5,0.0
2025-10-12 02:10:51,Whitefield,541.73,384.07,96.75,40.0,7.26,1.17,0.03
2025-10-12 02:55:51,Whitefield,676.13,229.67,80.0,40.0,7.53,3.49,0.03
2025-10-12 03:40:51,Whitefield,483.89,174.15,80.0,40.0,7.0,1.85,0.02
2025-10-12 04:25:51,Whitefield,506.33,98.63,80.0,40.0,7.02,1.27,0.04
2025-10-12 05:10:51,Whitefield,894.37,277.44,80.0,40.0,8.35,4.18,0.0
2025-10-12 05:55:51,Whitefield,521.02,393.79,120.26,40.0,8.21,1.24,0.01
2025-10-12 06:40:51,Whitefield,988.57,418.9,114.0,40.0,7.45,2.02,0.01
2025-10-12 07:25:51,Whitefield,465.29,133.17,80.0,40.0,7.69,1.13,0.01
2025-10-12 08:10:51,Whitefield,394.99,139.8,80.0,40.0,7.26,2.66,0.02
2025-10-12 08:55:51,Whitefield,929.78,456.07,138.43,40.0,7.3,3.76,0.02
2025-10-12 09:40:51,Whitefield,252.41,244.94,80.0,40.0,7.87,2.63,0.05
2025-10-12 10:25:51,Whitefield,728.5,412.12,128.02,40.0,7.14,1.94,0.01
2025-10-12 11:10:51,Whitefield,251.66,480.32,118.84,43.63,7.94,4.24,0.01
2025-10-12 11:55:51,Whitefield,671.26,391.85,102.49,40.0,7.66,2.37,0.03
2025-10-12 12:40:51,Whitefield,696.18,122.9,80.0,40.0,7.55,1.25,0.02
2025-10-12 13:25:51,Whitefield,532.67,421.16,114.65,40.0,7.1,4.25,0.04
2025-10-12 14:10:51,Whitefield,780.36,415.66,117.09,40.0,7.36,1.13,0.04
2025-10-12 14:55:51,Whitefield,765.29,144.66,80.0,40.0,8.37,3.05,0.0
2025-10-12 15:40:51,Whitefield,271.0,150.1,80.0,40.0,8.28,2.41,0.01
2025-10-12 16:25:51,Whitefield,527.55,428.76,101.77,42.34,8.05,2.03,0.0
2025-10-12 17:10:51,Whitefield,818.93,442.41,141.04,40.0,8.25,3.39,0.02
2025-10-12 17:55:51,Whitefield,413.95,237.18,80.0,40.0,7.62,1.46,0.01
2025-10-12 18:40:51,Whitefield,678.85,157.29,80.0,40.0,7.1,2.91,0.02
2025-10-12 19:25:51,Whitefield,787.54,351.1,99.2,40.0,7.07,1.82,0.03
2025-10-12 20:10:51,Whitefield,331.99,350.21,106.58,40.0,8.29,3.19,0.03
2025-10-12 20:55:51,Whitefield,378.79,240.66,80.0,40.0,7.72,2.06,0.01
2025-10-12 21:40:51,Whitefield,891.2,115.71,80.0,40.0,8.1,1.24,0.03
2025-10-12 22:25:51,Whitefield,688.57,233.6,80.0,40.0,8.02,1.81,0.05
2025-10-12 23:10:51,Whitefield,386.3,278.6,80.0,40.0,8.01,2.5,0.04
2025-10-12 23:55:51,Whitefield,305.95,226.63,80.0,40.0,8.29,3.95,0.03
2025-10-13 00:40:51,Whitefield,462.59,141.69,80.0,40.0,8.06,2.17,0.03
2025-10-13 01:25:51,Whitefield,272.16,387.78,107.51,40.0,7.06,2.01,0.02
